Sample Base Name,RRT,% Area
DPS21008,0.37857927735763686,0.0007
DPS21008,0.3794284975433152,0.0009
DPS21008,0.3801487229227287,0.0012
DPS21008,0.4908538556008015,0.0295
DPS21008,0.4909490561158521,0.0298
DPS21008,0.49110895570643387,0.0293
DPS21008,0.5074009437011182,0.0141
DPS21008,0.5074993535040082,0.0142
DPS21008,0.5075331393469124,0.0143
DPS21008,0.6451425247236765,0.0114
DPS21008,0.6452676493405741,0.0106
DPS21008,0.6454574846427417,0.0107
DPS21008,0.7008016550297388,0.0048
DPS21008,0.7013121323767048,0.0048
DPS21008,0.70184287099903,0.0049
DPS21008,0.7766143106457243,0.0028
DPS21008,0.7767649340574089,0.0027
DPS21008,0.7767862916262528,0.0031
DPS21008,0.8255415454251536,0.0144
DPS21008,0.8256092043177558,0.0143
DPS21008,0.8257693302301525,0.0141
DPS21008,0.8600607588391183,0.0096
DPS21008,0.8602651147752991,0.0093
DPS21008,0.8612619601758469,0.0097
DPS21008,0.9170060112468489,0.0017
DPS21008,0.9186061546418411,0.0017
DPS21008,0.9190430003233107,0.0015
DPS21008,1.0,99.34566666666666
DPS21008,1.2040090526996445,0.0371
DPS21008,1.2061675717610552,0.035
DPS21008,1.2063215047508242,0.0335
DPS21008,1.3313295843836856,0.4293
DPS21008,1.3313938453581589,0.4307
DPS21008,1.3315874555447786,0.4324
DPS21008,1.708745394609269,0.0039
DPS21008,1.7095293509180245,0.003
DPS21008,1.7096669899773684,0.0034
DPS21008,2.219766013832331,0.0196
DPS21008,2.2203258339798295,0.0189
DPS21008,2.221209182023925,0.0189
DPS21008,2.28251874838376,0.003
DPS21008,2.2825932389632215,0.0061
DPS21008,2.283672809569997,0.0033
DPS21008,2.3450972787796522,0.0129
DPS21008,2.345422808378588,0.0134
DPS21008,2.3468477206595537,0.0218
DPS21008,2.382263589942473,0.0046
DPS21008,2.3829195758986295,0.0045
DPS21008,2.3838991270611056,0.0042
DPS21008,2.415551677331782,0.0232
DPS21008,2.4162141194724596,0.023
DPS21008,2.4172001293242804,0.0225
DPS21008,2.4442505332557687,0.0165
DPS21008,2.44485389190587,0.0166
DPS21008,2.4460394439055935,0.0167
DPS21009,0.21875805204844112,0.0155
DPS21009,0.21938808373590982,0.0101
DPS21009,0.21964722544096818,0.0089
DPS21009,0.340993948757564,0.0013
DPS21009,0.3410847719659882,0.0011
DPS21009,0.3411272141706924,0.0012
DPS21009,0.3528729708837928,0.0012
DPS21009,0.3536114329857088,0.0012
DPS21009,0.35368760064412236,0.001
DPS21009,0.48081627397965754,0.0349
DPS21009,0.48106158206647776,0.035
DPS21009,0.4810950080515298,0.0353
DPS21009,0.5056649929187589,0.0081
DPS21009,0.505829307568438,0.0081
DPS21009,0.5059263076526669,0.0081
DPS21009,0.6438135702330371,0.0286
DPS21009,0.6441638752898737,0.0291
DPS21009,0.6442512077294686,0.0283
DPS21009,0.6990016103059581,0.0051
DPS21009,0.6998196341149189,0.0052
DPS21009,0.7001416248229689,0.0051
DPS21009,0.7743015321230848,0.0056
DPS21009,0.7746070600360733,0.005
DPS21009,0.7748148148148148,0.0053
DPS21009,0.8238702201622248,0.0135
DPS21009,0.8242720948209225,0.0129
DPS21009,0.8244766505636071,0.0129
DPS21009,0.852615305333677,0.0167
DPS21009,0.8526892109500804,0.0164
DPS21009,0.8527101841122698,0.016
DPS21009,0.9128363589545513,0.0037
DPS21009,0.9140740740740741,0.0035
DPS21009,0.91413295542386,0.0043
DPS21009,1.0,99.14836666666667
DPS21009,1.1976953778807775,0.032
DPS21009,1.199806763285024,0.0347
DPS21009,1.2011079618654987,0.0366
DPS21009,1.2799665250418435,0.0192
DPS21009,1.280450885668277,0.0209
DPS21009,1.280984282401443,0.0234
DPS21009,1.3275395905755116,0.452
DPS21009,1.3282659108477197,0.4622
DPS21009,1.3283735909822867,0.4529
DPS21009,1.4557100553624307,0.0116
DPS21009,1.4564545220304046,0.0138
DPS21009,1.4565539452495975,0.0124
DPS21009,1.696665379168276,0.0189
DPS21009,1.6972624798711755,0.0181
DPS21009,1.6974362277763464,0.0189
DPS21009,2.2132741084073646,0.0312
DPS21009,2.2137979902087093,0.0312
DPS21009,2.214428341384863,0.0322
DPS21009,2.275074031157461,0.0061
DPS21009,2.275959804174182,0.0072
DPS21009,2.276650563607085,0.0055
DPS21009,2.339770825286468,0.0612
DPS21009,2.3399252769904666,0.0158
DPS21009,2.340869565217391,0.0567
DPS21009,2.3733745332818335,0.0048
DPS21009,2.374130378768359,0.005
DPS21009,2.37487922705314,0.0048
DPS21009,2.4067207415990732,0.0505
DPS21009,2.4074980675083744,0.0494
DPS21009,2.4081159420289855,0.0501
DPS21009,2.437363203295996,0.0304
DPS21009,2.438095851584643,0.0299
DPS21009,2.43877616747182,0.0313
DPS21009,2.454135532079361,0.0036
DPS21009,2.4548792270531403,0.0033
DPS21009,2.4610531736835326,0.0182
DPS21009,2.47759752800309,0.0033
